Date,Open,High,Low,Close,Volume,Dividend
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,0.0
2015-01-01,1067.606385003011,1067.606385003011,1056.793075299046,1058.6854248046875,366830,0.0
2015-01-02,1060.9519448669705,1077.5669893174374,1060.785626886038,1072.7841796875,925740,0.0
2015-01-05,1073.4291094530404,1081.2895144672214,1049.9932957588364,1056.4813232421875,1754242,0.0
2015-01-06,1051.8438706533684,1051.8438706533684,1014.7874521742445,1017.5324096679688,2423784,0.0
2015-01-07,1027.2644712422089,1031.0698840329255,1001.2501219160558,1005.5130615234375,2636332,0.0
2015-01-08,1015.7856038806783,1018.5305614844646,1006.6983259837314,1016.367919921875,1565408,0.0
2015-01-09,1021.0261600129285,1048.0178089234187,1018.9466769986456,1044.8570556640625,3197642,0.0
2015-01-12,1046.811944981829,1051.3868084680425,1031.5277419710692,1043.77587890625,1596006,0.0
2015-01-13,1048.0595203118871,1052.384804701443,1031.4652851885212,1038.8681640625,1468432,0.0
2015-01-14,1046.3954316336053,1052.9666156214184,1039.9490368838751,1048.8699951171875,1787096,0.0
2015-01-15,1053.4660419932243,1073.7410003616292,1049.4110503195434,1056.0030517578125,5009920,0.0
2015-01-16,1057.9160523011894,1058.4567381330287,1033.21183741703,1053.1124267578125,5293830,0.0
2015-01-19,1054.7136983989196,1060.952146930459,1040.9891116295332,1044.3162841796875,1135074,0.0
2015-01-20,1048.0591413088446,1052.218106155308,1032.7749454980906,1039.9283447265625,2058566,0.0
2015-01-21,1048.8912890514034,1048.8912890514034,1034.8547779469288,1045.48095703125,2310480,0.0
2015-01-22,1046.6039500408965,1048.579459185619,1037.8701201379126,1045.3770751953125,2113214,0.0
2015-01-23,1045.5644212933212,1053.0713778793572,1038.1199101416705,1041.2391357421875,3150380,0.0
2015-01-27,1046.9685963346762,1048.0728869109969,1037.4671597553504,1042.67626953125,2738736,0.0
2015-01-28,1043.0723892883448,1060.533288708498,1043.0306757040594,1058.32470703125,3121980,0.0
2015-01-29,1057.6582361161775,1070.451796480755,1047.1982971825867,1060.429443359375,3734392,0.0
2015-01-30,1067.1173522137183,1073.0765940354756,1029.3200727252913,1034.3416748046875,5817402,0.0
2015-02-02,1034.3208552826363,1050.7607856762513,1026.0071362822575,1047.739501953125,3181802,0.0
2015-02-03,1046.6768330813363,1068.9093549018799,1044.7807984640087,1066.096435546875,2345054,0.0
2015-02-04,1070.1595663787596,1071.7014426021692,1042.6971789501808,1047.78125,2245418,0.0
2015-02-05,1050.1570787297112,1080.0365276454727,1049.7403497302153,1063.6590576171875,4530168,0.0
2015-02-06,1063.9087013586,1081.3279867739766,1063.0127750716488,1073.3892822265625,2136416,0.0
2015-02-09,1067.451436304545,1070.6186177057625,1041.8226003362727,1047.1983642578125,2076432,0.0
2015-02-10,1045.9893043769596,1052.7611474829857,1013.9011862745588,1017.2974853515625,3799054,0.0
2015-02-11,1023.0896449591488,1036.5082865171328,1019.8391412922116,1025.1107177734375,2937522,0.0
2015-02-12,1033.4041528756534,1033.4041528756534,1019.7354271695116,1026.048828125,3107980,0.0
2015-02-13,1029.3204668459196,1061.721141460199,1025.257359739949,1057.9705810546875,4158326,0.0
2015-02-16,1066.8256288335285,1081.411135477737,1064.741985027213,1077.1605224609375,2364392,0.0
2015-02-18,1077.2650199817379,1101.4144384177216,1069.013767745388,1098.3514404296875,2660014,0.0
